2025-03-05 18:41:42,331 Epochs: [45/300]; Train loss: 0.088154; Valid loss: 0.065806; mapping: 0.000000; lr: 0.000001 

2025-03-05 18:46:37,806 Epochs: [46/300]; Train loss: 0.088380; Valid loss: 0.065212; mapping: 0.000000; lr: 0.000001 

2025-03-05 18:51:32,333 Epochs: [47/300]; Train loss: 0.088021; Valid loss: 0.065303; mapping: 0.000000; lr: 0.000001 

2025-03-05 18:56:27,605 Epochs: [48/300]; Train loss: 0.088237; Valid loss: 0.065694; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:29:19,401 Epochs: [49/300]; Train loss: 0.088810; Valid loss: 0.065112; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:34:09,922 Epochs: [50/300]; Train loss: 0.087249; Valid loss: 0.064406; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:39:07,531 Epochs: [51/300]; Train loss: 0.088911; Valid loss: 0.065473; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:44:04,030 Epochs: [52/300]; Train loss: 0.087254; Valid loss: 0.064214; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:49:02,528 Epochs: [53/300]; Train loss: 0.086853; Valid loss: 0.065896; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:53:53,904 Epochs: [54/300]; Train loss: 0.087715; Valid loss: 0.065306; mapping: 0.000000; lr: 0.000001 

2025-03-06 17:58:48,609 Epochs: [55/300]; Train loss: 0.087614; Valid loss: 0.064926; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:03:44,851 Epochs: [56/300]; Train loss: 0.088031; Valid loss: 0.065121; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:08:42,523 Epochs: [57/300]; Train loss: 0.087761; Valid loss: 0.066068; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:13:41,167 Epochs: [58/300]; Train loss: 0.088710; Valid loss: 0.066787; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:18:38,651 Epochs: [59/300]; Train loss: 0.088144; Valid loss: 0.064651; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:23:40,208 Epochs: [60/300]; Train loss: 0.087775; Valid loss: 0.065876; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:28:38,744 Epochs: [61/300]; Train loss: 0.088238; Valid loss: 0.066453; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:33:38,026 Epochs: [62/300]; Train loss: 0.087892; Valid loss: 0.066655; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:38:35,271 Epochs: [63/300]; Train loss: 0.087832; Valid loss: 0.066265; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:43:31,641 Epochs: [64/300]; Train loss: 0.087990; Valid loss: 0.065348; mapping: 0.000000; lr: 0.000001 

2025-03-06 18:48:30,751 Epochs: [65/300]; Train loss: 0.088356; Valid loss: 0.065988; mapping: 0.000000; lr: 0.000001 

